Linux 3.16.0-4-amd64 (debian-1) 	07/19/2017 	_x86_64_	(1 CPU)

10:41:56 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
10:41:57 PM  1001     10050    2.15    0.00    0.00    2.15     0  wget
10:41:58 PM  1001     10050    2.15    2.15    0.00    4.30     0  wget
10:41:59 PM  1001     10050    1.02    5.10    0.00    6.12     0  wget
10:42:00 PM  1001     10050    0.00    5.15    0.00    5.15     0  wget
10:42:01 PM  1001     10050    2.08    3.12    0.00    5.21     0  wget
10:42:02 PM  1001     10050    2.15    4.30    0.00    6.45     0  wget
10:42:03 PM  1001     10050    2.08    5.21    0.00    7.29     0  wget
10:42:04 PM  1001     10050    3.16    5.26    0.00    8.42     0  wget
10:42:05 PM  1001     10050    3.16    3.16    0.00    6.32     0  wget
10:42:06 PM  1001     10050    2.13    6.38    0.00    8.51     0  wget
10:42:07 PM  1001     10050    2.08    4.17    0.00    6.25     0  wget
10:42:08 PM  1001     10050    3.26    5.43    0.00    8.70     0  wget
10:42:09 PM  1001     10050    2.17    5.43    0.00    7.61     0  wget
10:42:10 PM  1001     10050    4.21    2.11    0.00    6.32     0  wget
10:42:11 PM  1001     10050    3.19    4.26    0.00    7.45     0  wget
10:42:12 PM  1001     10050    0.00    0.00    0.00    0.00     0  wget
10:42:13 PM  1001     10050    0.00    0.00    0.00    0.00     0  wget
10:42:14 PM  1001     10050    1.01    0.00    0.00    1.01     0  wget
10:42:15 PM  1001     10050    0.00    0.00    0.00    0.00     0  wget
10:42:16 PM  1001     10050    0.00    1.00    0.00    1.00     0  wget
10:42:17 PM  1001     10050    0.00    0.00    0.00    0.00     0  wget
10:42:18 PM  1001     10050    0.00    0.00    0.00    0.00     0  wget
10:42:19 PM  1001     10050    0.00    0.00    0.00    0.00     0  wget
10:42:20 PM  1001     10050    0.00    0.00    0.00    0.00     0  wget
10:42:21 PM  1001     10050    0.00    1.01    0.00    1.01     0  wget
10:42:22 PM  1001     10050    0.00    0.00    0.00    0.00     0  wget
10:42:23 PM  1001     10050    0.00    1.02    0.00    1.02     0  wget
10:42:24 PM  1001     10050    0.00    0.00    0.00    0.00     0  wget
10:42:25 PM  1001     10050    1.01    1.01    0.00    2.02     0  wget
10:42:26 PM  1001     10050    0.00    2.06    0.00    2.06     0  wget
10:42:27 PM  1001     10050    0.00    0.00    0.00    0.00     0  wget
10:42:28 PM  1001     10050    1.03    2.06    0.00    3.09     0  wget
10:42:29 PM  1001     10050    2.08    2.08    0.00    4.17     0  wget
10:42:30 PM  1001     10050    0.00    2.02    0.00    2.02     0  wget
10:42:31 PM  1001     10050    4.21    2.11    0.00    6.32     0  wget
10:42:32 PM  1001     10050    3.23    3.23    0.00    6.45     0  wget
10:42:33 PM  1001     10050    3.12    4.17    0.00    7.29     0  wget
10:42:34 PM  1001     10050    4.21    5.26    0.00    9.47     0  wget
10:42:35 PM  1001     10050    4.30    2.15    0.00    6.45     0  wget
10:42:36 PM  1001     10050    2.15    2.15    0.00    4.30     0  wget
10:42:37 PM  1001     10050    3.30    6.59    0.00    9.89     0  wget
10:42:38 PM  1001     10050    3.26    4.35    0.00    7.61     0  wget
10:42:39 PM  1001     10050    3.26    4.35    0.00    7.61     0  wget
10:42:40 PM  1001     10050    3.16    5.26    0.00    8.42     0  wget
10:42:41 PM  1001     10050    3.12    3.12    0.00    6.25     0  wget
10:42:42 PM  1001     10050    1.09    6.52    0.00    7.61     0  wget
10:42:43 PM  1001     10050    2.11    3.16    0.00    5.26     0  wget
10:42:44 PM  1001     10050    2.08    4.17    0.00    6.25     0  wget
10:42:45 PM  1001     10050    2.11    5.26    0.00    7.37     0  wget
10:42:46 PM  1001     10050    3.23    3.23    0.00    6.45     0  wget
10:42:47 PM  1001     10050    3.19    2.13    0.00    5.32     0  wget
10:42:48 PM  1001     10050    0.00    0.00    0.00    0.00     0  wget
10:42:49 PM  1001     10050    1.05    1.05    0.00    2.11     0  wget
10:42:50 PM  1001     10050    1.00    0.00    0.00    1.00     0  wget
10:42:51 PM  1001     10050    0.00    0.00    0.00    0.00     0  wget
10:42:52 PM  1001     10050    0.00    0.00    0.00    0.00     0  wget
10:42:53 PM  1001     10050    0.00    0.00    0.00    0.00     0  wget
10:42:54 PM  1001     10050    0.00    1.01    0.00    1.01     0  wget
10:42:55 PM  1001     10050    0.00    1.03    0.00    1.03     0  wget
10:42:56 PM  1001     10050    1.01    1.01    0.00    2.02     0  wget
10:42:57 PM  1001     10050    0.00    1.02    0.00    1.02     0  wget
10:42:58 PM  1001     10050    0.00    0.00    0.00    0.00     0  wget
10:42:59 PM  1001     10050    0.00    0.00    0.00    0.00     0  wget
10:43:00 PM  1001     10050    0.00    0.00    0.00    0.00     0  wget
10:43:01 PM  1001     10050    1.03    0.00    0.00    1.03     0  wget
10:43:02 PM  1001     10050    0.00    0.00    0.00    0.00     0  wget
10:43:03 PM  1001     10050    0.00    2.02    0.00    2.02     0  wget
10:43:04 PM  1001     10050    0.00    2.11    0.00    2.11     0  wget
10:43:05 PM  1001     10050    2.08    1.04    0.00    3.12     0  wget
10:43:06 PM  1001     10050    1.03    1.03    0.00    2.06     0  wget
10:43:07 PM  1001     10050    1.04    2.08    0.00    3.12     0  wget
10:43:08 PM  1001     10050    0.00    2.06    0.00    2.06     0  wget
10:43:09 PM  1001     10050    1.04    1.04    0.00    2.08     0  wget
10:43:10 PM  1001     10050    1.01    0.00    0.00    1.01     0  wget
10:43:11 PM  1001     10050    0.00    0.00    0.00    0.00     0  wget
10:43:12 PM  1001     10050    1.05    1.05    0.00    2.11     0  wget
10:43:13 PM  1001     10050    0.00    1.03    0.00    1.03     0  wget
10:43:14 PM  1001     10050    0.00    2.08    0.00    2.08     0  wget
10:43:15 PM  1001     10050    1.03    0.00    0.00    1.03     0  wget
10:43:16 PM  1001     10050    0.00    1.01    0.00    1.01     0  wget
10:43:17 PM  1001     10050    1.02    1.02    0.00    2.04     0  wget
10:43:18 PM  1001     10050    0.00    0.00    0.00    0.00     0  wget
10:43:19 PM  1001     10050    0.00    0.00    0.00    0.00     0  wget
10:43:20 PM  1001     10050    0.00    0.00    0.00    0.00     0  wget
10:43:21 PM  1001     10050    0.00    1.01    0.00    1.01     0  wget
10:43:22 PM  1001     10050    0.00    0.00    0.00    0.00     0  wget
10:43:23 PM  1001     10050    1.01    0.00    0.00    1.01     0  wget
10:43:24 PM  1001     10050    1.03    0.00    0.00    1.03     0  wget
10:43:25 PM  1001     10050    1.10    3.30    0.00    4.40     0  wget
10:43:26 PM  1001     10050    1.02    3.06    0.00    4.08     0  wget
10:43:27 PM  1001     10050    1.05    2.11    0.00    3.16     0  wget
10:43:28 PM  1001     10050    2.06    3.09    0.00    5.15     0  wget
10:43:29 PM  1001     10050    2.11    1.05    0.00    3.16     0  wget
10:43:30 PM  1001     10050    1.02    2.04    0.00    3.06     0  wget
10:43:31 PM  1001     10050    1.05    1.05    0.00    2.11     0  wget
10:43:32 PM  1001     10050    2.02    1.01    0.00    3.03     0  wget
10:43:33 PM  1001     10050    1.03    2.06    0.00    3.09     0  wget
10:43:34 PM  1001     10050    1.05    2.11    0.00    3.16     0  wget
10:43:35 PM  1001     10050    0.00    3.03    0.00    3.03     0  wget
10:43:36 PM  1001     10050    1.08    3.23    0.00    4.30     0  wget
10:43:37 PM  1001     10050    1.04    4.17    0.00    5.21     0  wget
10:43:38 PM  1001     10050    3.09    1.03    0.00    4.12     0  wget
