
05:51:49 PM       PID  minflt/s  majflt/s     VSZ    RSS   %MEM  Command
05:51:50 PM      4773     85.86      0.00  141760   3952   0.19  wget
05:51:51 PM      4773      0.00      0.00  141760   3952   0.19  wget
05:51:52 PM      4773      0.00      0.00  141760   3952   0.19  wget
05:51:53 PM      4773      0.00      0.00  141760   3952   0.19  wget
05:51:54 PM      4773      0.00      0.00  141760   3952   0.19  wget
05:51:55 PM      4773      1.01      0.00  141848   3956   0.19  wget
05:51:56 PM      4773      9.90      0.00  141848   3996   0.19  wget
05:51:57 PM      4773     27.27      0.00  141852   4104   0.20  wget
05:51:58 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:51:59 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:00 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:01 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:02 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:03 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:04 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:05 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:06 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:07 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:08 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:09 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:10 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:11 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:12 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:13 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:14 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:15 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:16 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:17 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:18 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:19 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:20 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:21 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:22 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:23 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:24 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:25 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:26 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:27 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:28 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:29 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:30 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:31 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:32 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:33 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:34 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:35 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:36 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:37 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:38 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:39 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:40 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:41 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:42 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:43 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:44 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:45 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:46 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:47 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:48 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:49 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:50 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:51 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:52 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:53 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:54 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:55 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:56 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:57 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:58 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:52:59 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:00 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:01 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:02 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:03 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:04 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:05 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:06 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:07 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:08 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:09 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:10 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:11 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:12 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:13 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:14 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:15 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:16 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:17 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:18 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:19 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:20 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:21 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:22 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:23 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:24 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:25 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:26 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:27 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:28 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:29 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:30 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:31 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:32 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:33 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:34 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:35 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:36 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:37 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:38 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:39 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:40 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:41 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:42 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:43 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:44 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:45 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:46 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:47 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:48 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:49 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:50 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:51 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:52 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:53 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:54 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:55 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:56 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:57 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:58 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:53:59 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:00 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:01 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:02 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:03 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:04 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:05 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:06 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:07 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:08 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:09 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:10 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:11 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:12 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:13 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:14 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:15 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:16 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:17 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:18 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:19 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:20 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:21 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:22 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:23 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:24 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:25 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:26 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:27 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:28 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:29 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:30 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:31 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:32 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:33 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:34 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:35 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:36 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:37 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:38 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:39 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:40 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:41 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:42 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:43 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:44 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:45 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:46 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:47 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:48 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:49 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:50 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:51 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:52 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:53 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:54 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:55 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:56 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:57 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:58 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:54:59 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:00 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:01 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:02 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:03 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:04 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:05 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:06 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:07 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:08 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:09 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:10 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:11 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:12 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:13 PM      4773      0.00      0.00  141852   4104   0.20  wget
05:55:14 PM      4773      0.00      0.00  141852   4104   0.20  wget
