MEMCACHED_BEHAVIOR_KETAMA
Sets the default distribution to MEMCACHED_DISTRIBUTION_CONSISTENT_KETAMA and the hash to MEMCACHED_HASH_MD5.

效果也比较好 稍逊于  MEMCACHED_BEHAVIOR_KETAMA_WEIGHTED
16:32:10  1.000000
16:32:11  1.000000
16:32:12  0.686707
16:32:13  0.689025
16:32:14  0.690736
16:32:15  0.690246
16:32:16  0.692744
16:32:17  0.692147
16:32:18  0.691504
16:32:19  0.707387
16:32:20  0.742070
16:32:21  0.772838
16:32:22  0.796109
16:32:23  0.814391
16:32:24  0.829596
16:32:25  0.843019
16:32:26  0.854666
16:32:27  0.864463
16:32:29  0.873313
16:32:30  0.881457
16:32:31  0.888448
16:32:32  0.894812
16:32:33  0.900327
16:32:34  0.905179
16:32:35  0.909718
16:32:36  0.913816
16:32:37  0.917560
16:32:38  0.921041
16:32:39  0.924219
16:32:40  0.927123
16:32:41  0.929862
16:32:42  0.932355
16:32:43  0.934685
16:32:44  0.936999
16:32:45  0.939055
16:32:46  0.940951
16:32:47  0.942707
16:32:48  0.944295
16:32:49  0.945791
16:32:50  0.947302
16:32:51  0.948680
16:32:52  0.950039
16:32:53  0.951261
16:32:54  0.952494
16:32:55  0.953609
16:32:56  0.954677
16:32:57  0.955755
16:32:58  0.956640
16:32:59  0.957559
16:33:00  0.958468
