

MEMCACHED_BEHAVIOR_KETAMA_WEIGHTED  这个选项
一个节点失效影响很小  慢慢回升
16:11:46  1.000000
16:11:47  1.000000
16:11:48  1.000000
16:11:49  1.000000
16:11:50  1.000000
16:11:51  1.000000
16:11:52  0.850596
16:11:53  0.852947
16:11:54  0.853318
16:11:55  0.851130
16:11:56  0.851005
16:11:57  0.850586
16:11:58  0.852059
16:11:59  0.858713
16:12:00  0.877721
16:12:01  0.892553
16:12:02  0.903778
16:12:03  0.913199
16:12:04  0.920853
16:12:05  0.927196
16:12:06  0.932556
16:12:08  0.937296
16:12:09  0.941402
16:12:10  0.944736
16:12:11  0.947886
16:12:12  0.950709
16:12:13  0.953186
16:12:14  0.955485
16:12:15  0.957514
16:12:16  0.959425
16:12:17  0.961093
16:12:18  0.962773
16:12:19  0.964250
16:12:20  0.965572
16:12:21  0.966897
16:12:22  0.968103
16:12:23  0.969190
16:12:24  0.970230
16:12:25  0.971187
16:12:26  0.972063
16:12:27  0.972916
16:12:28  0.973707
16:12:29  0.974454
16:12:30  0.975138
16:12:31  0.975811
16:12:32  0.976440
16:12:33  0.977040
16:12:34  0.977620
16:12:35  0.978167
16:12:36  0.978680
16:12:37  0.979167
16:12:38  0.979634
16:12:39  0.980090
16:12:40  0.980521
16:12:41  0.980932
16:12:42  0.981334
16:12:43  0.981709
16:12:44  0.982063
16:12:45  0.982422
16:12:46  0.982761
16:12:47  0.983088
16:12:48  0.983401
