

The default method is MEMCACHED_DISTRIBUTION_MODULA.

使用默认值  跟 MEMCACHED_DISTRIBUTION_CONSISTENT 差不多

16:23:39  1.000000
16:23:40  1.000000
16:23:41  1.000000
16:23:42  1.000000
16:23:43  1.000000
16:23:44  1.000000
16:23:45  0.196987
16:23:46  0.190349
16:23:47  0.192626
16:23:48  0.197004
16:23:49  0.200090
16:23:50  0.197718
16:23:51  0.198593
16:23:52  0.197973
16:23:53  0.198629
16:23:54  0.199407
16:23:55  0.199318
16:23:56  0.236235
16:23:57  0.341537
16:23:58  0.419869
16:23:59  0.480538
16:24:00  0.530005
16:24:01  0.570334
16:24:03  0.605640
16:24:04  0.635665
16:24:05  0.661219
16:24:06  0.682640
16:24:07  0.701680
16:24:08  0.718450
16:24:09  0.733543
16:24:10  0.747058
16:24:11  0.759331
16:24:12  0.769546
16:24:13  0.779552
16:24:14  0.788909
16:24:15  0.797649
16:24:16  0.805660
16:24:17  0.813091
16:24:18  0.819819
16:24:19  0.825956
16:24:20  0.831659
16:24:21  0.837088
16:24:22  0.842304
16:24:23  0.847131
16:24:24  0.851691
16:24:25  0.855992
16:24:26  0.860043
16:24:27  0.863906
16:24:28  0.867628
16:24:29  0.871202
16:24:30  0.874513
16:24:31  0.877570
16:24:32  0.880533
16:24:33  0.883294
16:24:34  0.886125
16:24:35  0.888687
16:24:36  0.891172
16:24:37  0.893518
16:24:38  0.895764
16:24:39  0.897863
16:24:40  0.899808
16:24:41  0.901821
16:24:42  0.903693
16:24:43  0.905395
16:24:44  0.907083
16:24:45  0.908758
16:24:46  0.910451
16:24:47  0.912062
16:24:48  0.913639
16:24:49  0.915129
16:24:50  0.916559
16:24:51  0.917952
16:24:52  0.919321
16:24:53  0.920621
16:24:54  0.921889
16:24:55  0.923115
16:24:56  0.924283
16:24:57  0.925406
16:24:58  0.926518
16:24:59  0.927602
16:25:00  0.928676
16:25:01  0.929720
16:25:02  0.930726
16:25:04  0.931682
16:25:05  0.932629
16:25:06  0.933528
16:25:07  0.934425
16:25:08  0.935290
16:25:09  0.936118
16:25:10  0.936912
16:25:11  0.937720
16:25:12  0.938475
16:25:13  0.939213
